time_index,hash,area,percent,area_type
2022-04-24 17:09:14 UTC,#0f9d58,20201.23535258081,3.346,liberated
2022-04-24 17:09:14 UTC,#880e4f,46731.04359624694,7.741,occupied_to_24_02_2022
2022-04-24 17:09:14 UTC,#bcaaa4,293.99473506045973,0.049,unspecified
2022-04-24 17:09:14 UTC,#bdbdbd,519.1534128185017,0.086,other_territories
2022-04-24 17:09:14 UTC,#a52714,76405.52551930869,12.656,occupied_after_24_02_2022
2022-04-24 22:14:16 UTC,#0f9d58,20201.23535258081,3.346,liberated
2022-04-24 22:14:16 UTC,#880e4f,46731.04359624694,7.741,occupied_to_24_02_2022
2022-04-24 22:14:16 UTC,#bcaaa4,293.99473506045973,0.049,unspecified
2022-04-24 22:14:16 UTC,#bdbdbd,519.1534128185017,0.086,other_territories
2022-04-24 22:14:16 UTC,#a52714,76482.69631005812,12.669,occupied_after_24_02_2022
2022-04-25 08:17:40 UTC,#0f9d58,20201.23535258081,3.346,liberated
2022-04-25 08:17:40 UTC,#880e4f,46731.04359624694,7.741,occupied_to_24_02_2022
2022-04-25 08:17:40 UTC,#bcaaa4,296.31218682698386,0.049,unspecified
2022-04-25 08:17:40 UTC,#bdbdbd,519.1534128185017,0.086,other_territories
2022-04-25 08:17:40 UTC,#a52714,76688.24881117909,12.703,occupied_after_24_02_2022
2022-04-25 18:49:31 UTC,#0f9d58,20201.23535258081,3.346,liberated
2022-04-25 18:49:31 UTC,#880e4f,46731.04359624694,7.741,occupied_to_24_02_2022
2022-04-25 18:49:31 UTC,#bcaaa4,296.31218682698386,0.049,unspecified
2022-04-25 18:49:31 UTC,#bdbdbd,519.1534128185017,0.086,other_territories
2022-04-25 18:49:31 UTC,#a52714,77012.65788884278,12.757,occupied_after_24_02_2022
2022-04-26 20:58:40 UTC,#0f9d58,20239.430731774133,3.353,liberated
2022-04-26 20:58:40 UTC,#880e4f,46734.221714262305,7.741,occupied_to_24_02_2022
2022-04-26 20:58:40 UTC,#bcaaa4,296.31218682698386,0.049,unspecified
2022-04-26 20:58:40 UTC,#bdbdbd,512.8470164933613,0.085,other_territories
2022-04-26 20:58:40 UTC,#a52714,77086.39288393337,12.769,occupied_after_24_02_2022
2022-04-27 06:38:19 UTC,#0f9d58,20214.5378026302,3.348,liberated
2022-04-27 06:38:19 UTC,#880e4f,46734.221714262305,7.741,occupied_to_24_02_2022
2022-04-27 06:38:19 UTC,#bcaaa4,262.95846277133836,0.044,unspecified
2022-04-27 06:38:19 UTC,#bdbdbd,627.8169113021174,0.104,other_territories
2022-04-27 06:38:19 UTC,#a52714,77283.75780131127,12.802,occupied_after_24_02_2022
2022-04-27 07:01:58 UTC,#0f9d58,20214.5378026302,3.348,liberated
2022-04-27 07:01:58 UTC,#880e4f,46734.221714262305,7.741,occupied_to_24_02_2022
2022-04-27 07:01:58 UTC,#bcaaa4,262.95846277133836,0.044,unspecified
2022-04-27 07:01:58 UTC,#bdbdbd,627.8169113021174,0.104,other_territories
2022-04-27 07:01:58 UTC,#a52714,77283.76661582192,12.802,occupied_after_24_02_2022
2022-04-27 20:59:00 UTC,#0f9d58,20195.37660743532,3.345,liberated
2022-04-27 20:59:00 UTC,#880e4f,46734.221714262305,7.741,occupied_to_24_02_2022
2022-04-27 20:59:00 UTC,#bcaaa4,262.95846277133836,0.044,unspecified
2022-04-27 20:59:00 UTC,#bdbdbd,627.8169113021174,0.104,other_territories
2022-04-27 20:59:00 UTC,#a52714,77354.46878977476,12.813,occupied_after_24_02_2022
2022-04-28 11:09:22 UTC,#0f9d58,20195.37660743532,3.345,liberated
2022-04-28 11:09:22 UTC,#a52714,78014.84744009608,12.923,occupied_after_24_02_2022
2022-04-28 11:09:22 UTC,#880e4f,46734.221714262305,7.741,occupied_to_24_02_2022
2022-04-28 11:09:22 UTC,#bcaaa4,262.95846277133836,0.044,unspecified
2022-04-28 11:09:22 UTC,#bdbdbd,403.671473997929,0.067,other_territories
2022-04-28 16:08:34 UTC,#0f9d58,20189.86934805231,3.344,liberated
2022-04-28 16:08:34 UTC,#a52714,78140.99312059654,12.944,occupied_after_24_02_2022
2022-04-28 16:08:34 UTC,#880e4f,46734.221714262305,7.741,occupied_to_24_02_2022
2022-04-28 16:08:34 UTC,#bcaaa4,262.95846277133836,0.044,unspecified
2022-04-28 16:08:34 UTC,#bdbdbd,575.3123736386874,0.095,other_territories
2022-04-28 16:31:53 UTC,#0f9d58,20200.15687953127,3.346,liberated
2022-04-28 16:31:53 UTC,#880e4f,46734.221714262305,7.741,occupied_to_24_02_2022
2022-04-28 16:31:53 UTC,#bcaaa4,229.40927083209377,0.038,unspecified
2022-04-28 16:31:53 UTC,#bdbdbd,575.3123736386874,0.095,other_territories
2022-04-28 16:31:53 UTC,#a52714,78133.04839737584,12.942,occupied_after_24_02_2022
2022-04-28 21:29:10 UTC,#0f9d58,20200.15687953127,3.346,liberated
2022-04-28 21:29:10 UTC,#880e4f,46758.645979242574,7.745,occupied_to_24_02_2022
2022-04-28 21:29:10 UTC,#bcaaa4,229.40927083209377,0.038,unspecified
2022-04-28 21:29:10 UTC,#bdbdbd,596.6115103715783,0.099,other_territories
